date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-31,75.64,76.55,72.2,72.2,0,67.1739208460885,67.9820682280285,64.1189461275462,64.1189461275462,0,0.0,1.0
2018-02-28,73.53,75.97,70.53,75.97,0,65.3000846088431,67.4669852812975,62.6358624705794,67.4669852812975,0,0.0,1.0
2018-03-30,73.09,74.77,71.9,72.63,0,64.9093320285644,66.4012964259921,63.8525239137198,64.500817967364,0,0.0,1.0
2018-04-30,72.84,74.41,72.25,72.25,0,64.6873135170424,66.0815897694004,64.1633498298506,64.1633498298506,0,0.0,1.0
2018-05-31,73.67,74.54,72.73,72.73,0,65.4244149752954,66.1970393953918,64.5896253719727,64.5896253719727,0,0.0,1.0
2018-06-29,72.83,75.65,72.14,74.04,0,64.6784327765815,67.1828015865494,64.0656616847809,65.7530023723479,0,0.0,1.0
2018-07-31,72.86,74.1,71.66,71.99,0,64.7050749979642,65.8062868151132,63.6393861426587,63.9324505778677,0,0.0,1.0
2018-08-31,71.83,72.91,69.76,72.91,0,63.7903587304936,64.7494787002686,61.9520454550917,64.7494787002686,0,0.0,1.0
2018-09-28,69.66,70.92,69.1,70.92,0,61.8632380504829,62.9822113485537,61.3659165846737,62.9822113485537,0,0.0,1.0
2018-10-31,62.81,69.83,60.87,69.83,0,55.7799308347808,62.0142106383178,54.0570671853703,62.0142106383178,0,0.0,1.0
2018-11-30,62.26,65.15,60.36,64.38,0,55.2914901094325,57.8580241026265,53.6041494218655,57.1742070871388,0,0.0,1.0
2018-12-31,55.48,63.16,53.22,63.16,0,52.3402629000815,56.0907567509116,50.2081613471943,56.0907567509116,0,3.44,1.0
2019-01-31,59.76,59.76,54.48,55.41,0,56.3780481418326,56.3780481418326,51.3968551333172,52.274224356408,0,0.0,1.0
2019-02-28,61.49,61.76,58.55,59.76,0,58.0101435783348,58.2648636753611,55.2365247440478,56.3780481418326,0,0.0,1.0
2019-03-29,62.16,62.52,60.2,61.89,0,58.6422267820668,58.981853578102,56.7931475592089,58.3875066850405,0,0.0,1.0
2019-04-30,64.38,64.38,62.9,62.9,0,60.7365920242835,60.7365920242835,59.3403485294724,59.3403485294724,0,0.0,1.0
2019-05-31,61.14,65.08,61.06,64.1,0,57.6799508599673,61.3969774610185,57.6044782386261,60.4724378495895,0,0.0,1.0
2019-06-28,63.95,63.95,60.97,60.97,0,60.3309266845749,60.3309266845749,57.5195715396173,57.5195715396173,0,0.0,1.0
2019-07-31,63.25,64.88,63.25,64.41,0,59.6705412478399,61.2082959076656,59.6705412478399,60.7648942572864,0,0.0,1.0
2019-08-30,61.87,63.27,59.98,63.27,0,58.3686385297052,59.6894094031752,56.5855978505207,59.6894094031752,0,0.0,1.0
2019-09-30,62.28,63.71,61.67,61.67,0,58.7554357140785,60.1045088205514,58.1799569763523,58.1799569763523,0,0.0,1.0
2019-10-31,65.08,65.15,60.99,61.98,0,61.3969774610185,61.463016004692,57.5384396949526,58.4724133840492,0,0.0,1.0
2019-11-29,66.04,66.31,65.06,65.64,0,62.3026489171122,62.5573690141385,61.3781093056832,61.9252858104065,0,0.0,1.0
2019-12-31,68.33,68.44,65.7,65.7,0,65.4280398562561,65.4280398562561,61.9818902764123,61.9818902764123,0,1.01,1.0
2020-01-31,67.16,69.99,67.16,68.99,0,64.3077295001633,67.0175400196014,64.3077295001633,66.0600098007187,0,0.0,1.0
2020-02-28,64.45,70.76,64.38,67.47,0,61.7128226069912,67.7548382881411,61.6457954916694,64.604563868017,0,0.0,1.0
2020-03-31,53.99,66.52,47.24,65.38,0,51.6970565174779,63.6949101600784,45.2337275400196,62.6033257105521,0,0.0,1.0
2020-04-30,61.6,62.17,51.34,52.26,0,58.9838614831754,59.5296537079386,49.1596014374387,50.0405292388108,0,0.0,1.0
2020-05-29,68.08,68.08,60.6,60.6,0,65.1886573015354,65.1886573015354,58.0263312642927,58.0263312642927,0,0.0,1.0
2020-06-30,70.96,71.31,67.14,68.89,0,67.9463443319177,68.2814799085266,64.2885788957857,65.9642567788304,0,0.0,1.0
2020-07-31,75.49,76.27,71.13,71.13,0,72.2839562234564,73.0308297941849,68.1091244691277,68.1091244691277,0,0.0,1.0
2020-08-31,81.4,81.49,76.85,76.85,0,77.9429598170533,78.0291375367527,73.5861973211369,73.5861973211369,0,0.0,1.0
2020-09-30,80.79,82.25,78.51,81.62,0,77.3588663835348,78.7568605031036,75.1756974844822,78.1536164652074,0,0.0,1.0
2020-10-30,79.63,84.78,79.63,81.46,0,76.2481313296308,81.1794119568768,76.2481313296308,78.0004116301862,0,0.0,1.0
2020-11-30,88.13,88.78,80.37,80.37,0,84.3871381901339,85.0095328324077,76.956703691604,76.956703691604,0,0.0,1.0
