date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1986-05-30,9.96,10.13,9.96,10.0,0,1.39520689080769,1.41902066304036,1.39520689080769,1.40081013133303,0,0.0,1.0
1986-06-30,10.22,10.22,9.8,9.83,0,1.43162795422235,1.43162795422235,1.37279392870637,1.37699635910037,0,0.0,1.0
1986-07-31,10.08,10.36,9.98,10.22,0,1.41201661238369,1.45123929606102,1.39800851107036,1.43162795422235,0,0.0,1.0
1986-08-29,10.49,10.49,10.02,10.08,0,1.46944982776834,1.46944982776834,1.40361175159569,1.41201661238369,0,0.0,1.0
1986-09-30,10.05,10.45,9.88,10.45,0,1.40781418198969,1.46384658724301,1.38400040975703,1.46384658724301,0,0.0,1.0
1986-10-31,10.15,10.18,9.89,10.1,0,1.42182228330302,1.42602471369702,1.38540121988836,1.41481823264636,0,0.0,1.0
1986-11-28,10.28,10.31,10.06,10.22,0,1.44003281501035,1.44423524540435,1.40921499212102,1.43162795422235,0,0.0,1.0
1986-12-31,10.25,10.41,10.25,10.26,0,1.43583038461635,1.45824334671768,1.43583038461635,1.43723119474769,0,0.0,1.0
1987-01-30,10.28,10.45,10.28,10.31,0,1.44003281501035,1.46384658724301,1.44003281501035,1.44423524540435,0,0.0,1.0
1987-02-27,10.33,10.33,10.17,10.25,0,1.44703686566702,1.44703686566702,1.42462390356569,1.43583038461635,0,0.0,1.0
1987-03-31,10.1,10.41,10.1,10.37,0,1.41481823264636,1.45824334671768,1.41481823264636,1.45264010619235,0,0.0,1.0
1987-04-30,9.55,10.09,9.35,10.06,0,1.33777367542304,1.41341742251502,1.30975747279638,1.40921499212102,0,0.0,1.0
1987-05-29,9.34,9.46,9.09,9.46,0,1.30835666266505,1.32516638424104,1.27333640938172,1.32516638424104,0,0.0,1.0
1987-06-30,9.41,9.54,9.23,9.41,0,1.31816233358438,1.33637286529171,1.29294775122038,1.31816233358438,0,0.0,1.0
1987-07-31,9.24,9.48,9.24,9.43,0,1.29434856135172,1.32796800450371,1.29434856135172,1.32096395384704,0,0.0,1.0
1987-08-31,9.03,9.29,9.03,9.15,0,1.26493154859372,1.30135261200838,1.26493154859372,1.28174127016972,0,0.0,1.0
1987-09-30,8.63,9.02,8.63,9.02,0,1.2088991433404,1.26353073846239,1.2088991433404,1.26353073846239,0,0.0,1.0
1987-10-30,9.07,9.12,8.38,8.64,0,1.27053478911906,1.27753883977572,1.17387889005708,1.21029995347173,0,0.0,1.0
1987-11-30,9.05,9.24,8.98,9.01,0,1.26773316885639,1.29434856135172,1.25792749793706,1.26212992833106,0,0.0,1.0
