event_date,composite_figi,open,high,low,close,adj_close,split_factor,dividend
2019-01-02,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-03,PVGG06TNP6J8,2.4100,2.4100,2.4100,2.4100,2.4100,1.000000,0.0000
2019-01-04,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-07,PVGG06TNP6J8,2.4500,2.4500,2.4500,2.4500,2.4500,1.000000,0.0000
2019-01-08,PVGG06TNP6J8,2.4600,2.4600,2.4600,2.4600,2.4600,1.000000,0.0000
2019-01-09,PVGG06TNP6J8,2.4500,2.4500,2.4500,2.4500,2.4500,1.000000,0.0000
2019-01-10,PVGG06TNP6J8,2.4300,2.4300,2.4300,2.4300,2.4300,1.000000,0.0000
2019-01-11,PVGG06TNP6J8,2.4300,2.4300,2.4300,2.4300,2.4300,1.000000,0.0000
2019-01-14,PVGG06TNP6J8,2.4500,2.4500,2.4500,2.4500,2.4500,1.000000,0.0000
2019-01-15,PVGG06TNP6J8,2.4500,2.4500,2.4500,2.4500,2.4500,1.000000,0.0000
2019-01-16,PVGG06TNP6J8,2.4300,2.4300,2.4300,2.4300,2.4300,1.000000,0.0000
2019-01-17,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-18,PVGG06TNP6J8,2.4100,2.4100,2.4100,2.4100,2.4100,1.000000,0.0000
2019-01-22,PVGG06TNP6J8,2.4300,2.4300,2.4300,2.4300,2.4300,1.000000,0.0000
2019-01-23,PVGG06TNP6J8,2.4100,2.4100,2.4100,2.4100,2.4100,1.000000,0.0000
2019-01-24,PVGG06TNP6J8,2.3700,2.3700,2.3700,2.3700,2.3700,1.000000,0.0000
2019-01-25,PVGG06TNP6J8,2.3900,2.3900,2.3900,2.3900,2.3900,1.000000,0.0000
2019-01-28,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-29,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-30,PVGG06TNP6J8,2.4200,2.4200,2.4200,2.4200,2.4200,1.000000,0.0000
2019-01-31,PVGG06TNP6J8,2.4100,2.4100,2.4100,2.4100,2.4100,1.000000,0.0000
