event_date,composite_figi,open,high,low,close,adj_close,split_factor,dividend
2019-01-02,BBG000BBVR08,55.4100,55.4100,55.4100,55.4100,45.1190,1.000000,0.0000
2019-01-03,BBG000BBVR08,54.4800,54.4800,54.4800,54.4800,44.3617,1.000000,0.0000
2019-01-04,BBG000BBVR08,56.0700,56.0700,56.0700,56.0700,45.6564,1.000000,0.0000
2019-01-07,BBG000BBVR08,56.9100,56.9100,56.9100,56.9100,46.3404,1.000000,0.0000
2019-01-08,BBG000BBVR08,57.2700,57.2700,57.2700,57.2700,46.6335,1.000000,0.0000
2019-01-09,BBG000BBVR08,58.2900,58.2900,58.2900,58.2900,47.4641,1.000000,0.0000
2019-01-10,BBG000BBVR08,58.2500,58.2500,58.2500,58.2500,47.4315,1.000000,0.0000
2019-01-11,BBG000BBVR08,57.8300,57.8300,57.8300,57.8300,47.0895,1.000000,0.0000
2019-01-14,BBG000BBVR08,57.2900,57.2900,57.2900,57.2900,46.6498,1.000000,0.0000
2019-01-15,BBG000BBVR08,57.6600,57.6600,57.6600,57.6600,46.9511,1.000000,0.0000
2019-01-16,BBG000BBVR08,57.7900,57.7900,57.7900,57.7900,47.0570,1.000000,0.0000
2019-01-17,BBG000BBVR08,58.0300,58.0300,58.0300,58.0300,47.2524,1.000000,0.0000
2019-01-18,BBG000BBVR08,58.4900,58.4900,58.4900,58.4900,47.6270,1.000000,0.0000
2019-01-22,BBG000BBVR08,58.0300,58.0300,58.0300,58.0300,47.2524,1.000000,0.0000
2019-01-23,BBG000BBVR08,58.3000,58.3000,58.3000,58.3000,47.4722,1.000000,0.0000
2019-01-24,BBG000BBVR08,58.5400,58.5400,58.5400,58.5400,47.6677,1.000000,0.0000
2019-01-25,BBG000BBVR08,59.3400,59.3400,59.3400,59.3400,48.3191,1.000000,0.0000
2019-01-28,BBG000BBVR08,58.9800,58.9800,58.9800,58.9800,48.0259,1.000000,0.0000
2019-01-29,BBG000BBVR08,58.9200,58.9200,58.9200,58.9200,47.9771,1.000000,0.0000
2019-01-30,BBG000BBVR08,59.4100,59.4100,59.4100,59.4100,48.3761,1.000000,0.0000
2019-01-31,BBG000BBVR08,59.7600,59.7600,59.7600,59.7600,48.6611,1.000000,0.0000
2019-02-01,BBG000BBVR08,59.7600,59.7600,59.7600,59.7600,48.6611,1.000000,0.0000
2019-02-04,BBG000BBVR08,59.8700,59.8700,59.8700,59.8700,48.7507,1.000000,0.0000
2019-02-05,BBG000BBVR08,60.2900,60.2900,60.2900,60.2900,49.0926,1.000000,0.0000
2019-02-06,BBG000BBVR08,60.0000,60.0000,60.0000,60.0000,48.8565,1.000000,0.0000
2019-02-07,BBG000BBVR08,59.0100,59.0100,59.0100,59.0100,48.0504,1.000000,0.0000
2019-02-08,BBG000BBVR08,58.6100,58.6100,58.6100,58.6100,47.7247,1.000000,0.0000
2019-02-11,BBG000BBVR08,58.5500,58.5500,58.5500,58.5500,47.6758,1.000000,0.0000
2019-02-12,BBG000BBVR08,59.4200,59.4200,59.4200,59.4200,48.3842,1.000000,0.0000
2019-02-13,BBG000BBVR08,59.6100,59.6100,59.6100,59.6100,48.5389,1.000000,0.0000
2019-02-14,BBG000BBVR08,59.7200,59.7200,59.7200,59.7200,48.6285,1.000000,0.0000
2019-02-15,BBG000BBVR08,60.1800,60.1800,60.1800,60.1800,49.0031,1.000000,0.0000
2019-02-19,BBG000BBVR08,60.5600,60.5600,60.5600,60.5600,49.3125,1.000000,0.0000
2019-02-20,BBG000BBVR08,60.7700,60.7700,60.7700,60.7700,49.4835,1.000000,0.0000
2019-02-21,BBG000BBVR08,60.6200,60.6200,60.6200,60.6200,49.3614,1.000000,0.0000
2019-02-22,BBG000BBVR08,61.0800,61.0800,61.0800,61.0800,49.7359,1.000000,0.0000
2019-02-25,BBG000BBVR08,61.5000,61.5000,61.5000,61.5000,50.0779,1.000000,0.0000
2019-02-26,BBG000BBVR08,61.7600,61.7600,61.7600,61.7600,50.2896,1.000000,0.0000
2019-02-27,BBG000BBVR08,61.5600,61.5600,61.5600,61.5600,50.1268,1.000000,0.0000
2019-02-28,BBG000BBVR08,61.4900,61.4900,61.4900,61.4900,50.0698,1.000000,0.0000
2019-03-01,BBG000BBVR08,61.8900,61.8900,61.8900,61.8900,50.3955,1.000000,0.0000
2019-03-04,BBG000BBVR08,61.9200,61.9200,61.9200,61.9200,50.4199,1.000000,0.0000
2019-03-05,BBG000BBVR08,61.9400,61.9400,61.9400,61.9400,50.4362,1.000000,0.0000
2019-03-06,BBG000BBVR08,61.6700,61.6700,61.6700,61.6700,50.2163,1.000000,0.0000
2019-03-07,BBG000BBVR08,60.6000,60.6000,60.6000,60.6000,49.3451,1.000000,0.0000
2019-03-08,BBG000BBVR08,60.2000,60.2000,60.2000,60.2000,49.0194,1.000000,0.0000
2019-03-11,BBG000BBVR08,60.9500,60.9500,60.9500,60.9500,49.6301,1.000000,0.0000
2019-03-12,BBG000BBVR08,61.2000,61.2000,61.2000,61.2000,49.8336,1.000000,0.0000
2019-03-13,BBG000BBVR08,61.6200,61.6200,61.6200,61.6200,50.1756,1.000000,0.0000
2019-03-14,BBG000BBVR08,61.4100,61.4100,61.4100,61.4100,50.0046,1.000000,0.0000
2019-03-15,BBG000BBVR08,61.9800,61.9800,61.9800,61.9800,50.4688,1.000000,0.0000
2019-03-18,BBG000BBVR08,62.3000,62.3000,62.3000,62.3000,50.7293,1.000000,0.0000
2019-03-19,BBG000BBVR08,62.3800,62.3800,62.3800,62.3800,50.7945,1.000000,0.0000
2019-03-20,BBG000BBVR08,62.4900,62.4900,62.4900,62.4900,50.8841,1.000000,0.0000
2019-03-21,BBG000BBVR08,62.5200,62.5200,62.5200,62.5200,50.9085,1.000000,0.0000
2019-03-22,BBG000BBVR08,61.6100,61.6100,61.6100,61.6100,50.1675,1.000000,0.0000
2019-03-25,BBG000BBVR08,61.2000,61.2000,61.2000,61.2000,49.8336,1.000000,0.0000
2019-03-26,BBG000BBVR08,61.7600,61.7600,61.7600,61.7600,50.2896,1.000000,0.0000
2019-03-27,BBG000BBVR08,61.6000,61.6000,61.6000,61.6000,50.1593,1.000000,0.0000
2019-03-28,BBG000BBVR08,61.6600,61.6600,61.6600,61.6600,50.2082,1.000000,0.0000
2019-03-29,BBG000BBVR08,62.1600,62.1600,62.1600,62.1600,50.6153,1.000000,0.0000
2019-04-01,BBG000BBVR08,62.9000,62.9000,62.9000,62.9000,51.2179,1.000000,0.0000
2019-04-02,BBG000BBVR08,62.9100,62.9100,62.9100,62.9100,51.2260,1.000000,0.0000
2019-04-03,BBG000BBVR08,63.5200,63.5200,63.5200,63.5200,51.7228,1.000000,0.0000
2019-04-04,BBG000BBVR08,63.2100,63.2100,63.2100,63.2100,51.4703,1.000000,0.0000
2019-04-05,BBG000BBVR08,63.3500,63.3500,63.3500,63.3500,51.5843,1.000000,0.0000
2019-04-08,BBG000BBVR08,63.2600,63.2600,63.2600,63.2600,51.5110,1.000000,0.0000
2019-04-09,BBG000BBVR08,63.0400,63.0400,63.0400,63.0400,51.3319,1.000000,0.0000
2019-04-10,BBG000BBVR08,63.2900,63.2900,63.2900,63.2900,51.5355,1.000000,0.0000
2019-04-11,BBG000BBVR08,63.0400,63.0400,63.0400,63.0400,51.3319,1.000000,0.0000
2019-04-12,BBG000BBVR08,63.4800,63.4800,63.4800,63.4800,51.6902,1.000000,0.0000
2019-04-15,BBG000BBVR08,63.8900,63.8900,63.8900,63.8900,52.0240,1.000000,0.0000
2019-04-16,BBG000BBVR08,63.9600,63.9600,63.9600,63.9600,52.0810,1.000000,0.0000
2019-04-17,BBG000BBVR08,64.0600,64.0600,64.0600,64.0600,52.1625,1.000000,0.0000
2019-04-18,BBG000BBVR08,63.7000,63.7000,63.7000,63.7000,51.8693,1.000000,0.0000
2019-04-22,BBG000BBVR08,63.8100,63.8100,63.8100,63.8100,51.9589,1.000000,0.0000
2019-04-23,BBG000BBVR08,63.8700,63.8700,63.8700,63.8700,52.0078,1.000000,0.0000
2019-04-24,BBG000BBVR08,63.6000,63.6000,63.6000,63.6000,51.7879,1.000000,0.0000
2019-04-25,BBG000BBVR08,63.5000,63.5000,63.5000,63.5000,51.7065,1.000000,0.0000
2019-04-26,BBG000BBVR08,63.8100,63.8100,63.8100,63.8100,51.9589,1.000000,0.0000
2019-04-29,BBG000BBVR08,63.9500,63.9500,63.9500,63.9500,52.0729,1.000000,0.0000
2019-04-30,BBG000BBVR08,64.3800,64.3800,64.3800,64.3800,52.4230,1.000000,0.0000
2019-05-01,BBG000BBVR08,64.1000,64.1000,64.1000,64.1000,52.1950,1.000000,0.0000
2019-05-02,BBG000BBVR08,64.1200,64.1200,64.1200,64.1200,52.2113,1.000000,0.0000
2019-05-03,BBG000BBVR08,65.0800,65.0800,65.0800,65.0800,52.9930,1.000000,0.0000
2019-05-06,BBG000BBVR08,64.2000,64.2000,64.2000,64.2000,52.2765,1.000000,0.0000
2019-05-07,BBG000BBVR08,63.2500,63.2500,63.2500,63.2500,51.5029,1.000000,0.0000
2019-05-08,BBG000BBVR08,63.1200,63.1200,63.1200,63.1200,51.3970,1.000000,0.0000
2019-05-09,BBG000BBVR08,62.5000,62.5000,62.5000,62.5000,50.8922,1.000000,0.0000
2019-05-10,BBG000BBVR08,63.0700,63.0700,63.0700,63.0700,51.3563,1.000000,0.0000
2019-05-13,BBG000BBVR08,61.2600,61.2600,61.2600,61.2600,49.8825,1.000000,0.0000
2019-05-14,BBG000BBVR08,61.8400,61.8400,61.8400,61.8400,50.3548,1.000000,0.0000
2019-05-15,BBG000BBVR08,62.2800,62.2800,62.2800,62.2800,50.7131,1.000000,0.0000
2019-05-16,BBG000BBVR08,62.6500,62.6500,62.6500,62.6500,51.0143,1.000000,0.0000
2019-05-17,BBG000BBVR08,62.0200,62.0200,62.0200,62.0200,50.5013,1.000000,0.0000
2019-05-20,BBG000BBVR08,61.4800,61.4800,61.4800,61.4800,50.0616,1.000000,0.0000
2019-05-21,BBG000BBVR08,62.0200,62.0200,62.0200,62.0200,50.5013,1.000000,0.0000
2019-05-22,BBG000BBVR08,62.0400,62.0400,62.0400,62.0400,50.5176,1.000000,0.0000
2019-05-23,BBG000BBVR08,61.3000,61.3000,61.3000,61.3000,49.9151,1.000000,0.0000
2019-05-24,BBG000BBVR08,61.7100,61.7100,61.7100,61.7100,50.2489,1.000000,0.0000
2019-05-28,BBG000BBVR08,61.6600,61.6600,61.6600,61.6600,50.2082,1.000000,0.0000
2019-05-29,BBG000BBVR08,61.0600,61.0600,61.0600,61.0600,49.7196,1.000000,0.0000
2019-05-30,BBG000BBVR08,61.4100,61.4100,61.4100,61.4100,50.0046,1.000000,0.0000
2019-05-31,BBG000BBVR08,61.1400,61.1400,61.1400,61.1400,49.7848,1.000000,0.0000
2019-06-03,BBG000BBVR08,60.9700,60.9700,60.9700,60.9700,49.6464,1.000000,0.0000
2019-06-04,BBG000BBVR08,61.5100,61.5100,61.5100,61.5100,50.0861,1.000000,0.0000
2019-06-05,BBG000BBVR08,61.6700,61.6700,61.6700,61.6700,50.2163,1.000000,0.0000
2019-06-06,BBG000BBVR08,61.6600,61.6600,61.6600,61.6600,50.2082,1.000000,0.0000
2019-06-07,BBG000BBVR08,62.3200,62.3200,62.3200,62.3200,50.7456,1.000000,0.0000
2019-06-10,BBG000BBVR08,62.4900,62.4900,62.4900,62.4900,50.8841,1.000000,0.0000
2019-06-11,BBG000BBVR08,62.9200,62.9200,62.9200,62.9200,51.2342,1.000000,0.0000
2019-06-12,BBG000BBVR08,62.6500,62.6500,62.6500,62.6500,51.0143,1.000000,0.0000
2019-06-13,BBG000BBVR08,62.7300,62.7300,62.7300,62.7300,51.0795,1.000000,0.0000
2019-06-14,BBG000BBVR08,62.0300,62.0300,62.0300,62.0300,50.5095,1.000000,0.0000
