event_date,composite_figi,open,high,low,close,adj_close,split_factor,dividend
2019-01-02,BBG000N9MNX3,306.1000,315.1300,298.8000,310.1200,62.0240,1.000000,0.0000
2019-01-03,BBG000N9MNX3,307.0000,309.4000,297.3800,300.3600,60.0720,1.000000,0.0000
2019-01-04,BBG000N9MNX3,306.0000,318.0000,302.7300,317.6900,63.5380,1.000000,0.0000
2019-01-07,BBG000N9MNX3,321.7200,336.7400,317.7500,334.9600,66.9920,1.000000,0.0000
2019-01-08,BBG000N9MNX3,341.9600,344.0100,327.0200,335.3500,67.0700,1.000000,0.0000
2019-01-09,BBG000N9MNX3,335.5000,343.5000,331.4700,338.5300,67.7060,1.000000,0.0000
2019-01-10,BBG000N9MNX3,334.4000,345.3900,331.7900,344.9700,68.9940,1.000000,0.0000
2019-01-11,BBG000N9MNX3,342.0900,348.4100,338.7700,347.2600,69.4520,1.000000,0.0000
2019-01-14,BBG000N9MNX3,342.3800,342.5000,334.0000,334.4000,66.8800,1.000000,0.0000
2019-01-15,BBG000N9MNX3,335.0000,348.8000,334.5000,344.4300,68.8860,1.000000,0.0000
2019-01-16,BBG000N9MNX3,344.7800,352.0000,343.5000,346.0500,69.2100,1.000000,0.0000
2019-01-17,BBG000N9MNX3,346.2100,351.5000,344.1500,347.3100,69.4620,1.000000,0.0000
2019-01-18,BBG000N9MNX3,323.0000,327.1300,299.7300,302.2600,60.4520,1.000000,0.0000
2019-01-22,BBG000N9MNX3,304.8200,308.0000,295.5000,298.9200,59.7840,1.000000,0.0000
2019-01-23,BBG000N9MNX3,292.5000,294.5000,281.6900,287.5900,57.5180,1.000000,0.0000
2019-01-24,BBG000N9MNX3,283.0300,293.6800,279.2800,291.5100,58.3020,1.000000,0.0000
2019-01-25,BBG000N9MNX3,294.3900,298.5200,289.5500,297.0400,59.4080,1.000000,0.0000
2019-01-28,BBG000N9MNX3,292.9100,297.4600,287.7500,296.3800,59.2760,1.000000,0.0000
2019-01-29,BBG000N9MNX3,295.2700,298.5600,291.8000,297.4600,59.4920,1.000000,0.0000
2019-01-30,BBG000N9MNX3,300.4500,309.0000,298.4900,308.7700,61.7540,1.000000,0.0000
2019-01-31,BBG000N9MNX3,301.0000,311.5600,294.0000,307.0200,61.4040,1.000000,0.0000
2019-02-01,BBG000N9MNX3,305.4200,316.1000,303.5000,312.2100,62.4420,1.000000,0.0000
2019-02-04,BBG000N9MNX3,312.9800,315.3000,301.8800,312.8900,62.5780,1.000000,0.0000
2019-02-05,BBG000N9MNX3,312.4900,322.4400,312.2500,321.3500,64.2700,1.000000,0.0000
2019-02-06,BBG000N9MNX3,319.5900,324.2400,315.6200,317.2200,63.4440,1.000000,0.0000
2019-02-07,BBG000N9MNX3,313.3000,314.7000,303.0000,307.5100,61.5020,1.000000,0.0000
2019-02-08,BBG000N9MNX3,306.8300,307.4500,298.5000,305.8000,61.1600,1.000000,0.0000
2019-02-11,BBG000N9MNX3,311.6000,318.6000,310.5000,312.8400,62.5680,1.000000,0.0000
2019-02-12,BBG000N9MNX3,316.2000,318.1900,309.6200,311.8100,62.3620,1.000000,0.0000
2019-02-13,BBG000N9MNX3,312.3500,312.7500,305.5700,308.1700,61.6340,1.000000,0.0000
2019-02-14,BBG000N9MNX3,303.3800,306.7700,301.0000,303.7700,60.7540,1.000000,0.0000
2019-02-15,BBG000N9MNX3,304.5000,308.0000,303.9000,307.8800,61.5760,1.000000,0.0000
2019-02-19,BBG000N9MNX3,306.5600,311.5400,305.4700,305.6400,61.1280,1.000000,0.0000
2019-02-20,BBG000N9MNX3,304.4100,306.3000,299.0000,302.5600,60.5120,1.000000,0.0000
2019-02-21,BBG000N9MNX3,301.8100,303.2399,290.5000,291.2300,58.2460,1.000000,0.0000
2019-02-22,BBG000N9MNX3,294.4900,296.5000,292.1000,294.7100,58.9420,1.000000,0.0000
2019-02-25,BBG000N9MNX3,297.9100,302.9000,297.0000,298.7700,59.7540,1.000000,0.0000
2019-02-26,BBG000N9MNX3,292.2200,302.0100,288.7700,297.8600,59.5720,1.000000,0.0000
2019-02-27,BBG000N9MNX3,301.7800,316.3000,300.5500,314.7400,62.9480,1.000000,0.0000
2019-02-28,BBG000N9MNX3,318.9200,320.0000,310.8100,319.8800,63.9760,1.000000,0.0000
2019-03-01,BBG000N9MNX3,306.9400,307.1300,291.9000,294.7900,58.9580,1.000000,0.0000
2019-03-04,BBG000N9MNX3,298.1200,299.0000,282.7800,285.3600,57.0720,1.000000,0.0000
2019-03-05,BBG000N9MNX3,282.0000,284.0000,270.1000,276.5400,55.3080,1.000000,0.0000
2019-03-06,BBG000N9MNX3,276.4800,281.5100,274.3900,276.2400,55.2480,1.000000,0.0000
2019-03-07,BBG000N9MNX3,278.8400,284.7000,274.2500,276.5900,55.3180,1.000000,0.0000
2019-03-08,BBG000N9MNX3,276.9100,285.5900,275.8900,284.1400,56.8280,1.000000,0.0000
2019-03-11,BBG000N9MNX3,283.5200,291.2800,280.5000,290.9200,58.1840,1.000000,0.0000
2019-03-12,BBG000N9MNX3,286.4900,288.0700,281.0600,283.3600,56.6720,1.000000,0.0000
2019-03-13,BBG000N9MNX3,283.9000,291.9900,282.7000,288.9600,57.7920,1.000000,0.0000
2019-03-14,BBG000N9MNX3,292.4500,295.3900,288.2900,289.9600,57.9920,1.000000,0.0000
2019-03-15,BBG000N9MNX3,283.5100,283.7200,274.4000,275.4300,55.0860,1.000000,0.0000
2019-03-18,BBG000N9MNX3,276.0000,278.0500,267.3000,269.4900,53.8980,1.000000,0.0000
2019-03-19,BBG000N9MNX3,267.5000,273.3000,263.4600,267.4700,53.4940,1.000000,0.0000
2019-03-20,BBG000N9MNX3,269.6900,274.9700,266.3000,273.6000,54.7200,1.000000,0.0000
2019-03-21,BBG000N9MNX3,272.6000,276.4500,268.4500,274.0200,54.8040,1.000000,0.0000
