event_date,composite_figi,open,high,low,close,adj_close,split_factor,dividend
2019-01-02,BBG000BHTMY2,231.7300,231.7300,231.7300,231.7300,219.1465,1.000000,0.0000
2019-01-03,BBG000BHTMY2,226.0500,226.0500,226.0500,226.0500,213.7749,1.000000,0.0000
2019-01-04,BBG000BHTMY2,233.8200,233.8200,233.8200,233.8200,221.1230,1.000000,0.0000
2019-01-07,BBG000BHTMY2,235.4500,235.4500,235.4500,235.4500,222.6645,1.000000,0.0000
2019-01-08,BBG000BHTMY2,237.7400,237.7400,237.7400,237.7400,224.8301,1.000000,0.0000
2019-01-09,BBG000BHTMY2,238.7900,238.7900,238.7900,238.7900,225.8231,1.000000,0.0000
2019-01-10,BBG000BHTMY2,239.8700,239.8700,239.8700,239.8700,226.8445,1.000000,0.0000
2019-01-11,BBG000BHTMY2,239.8300,239.8300,239.8300,239.8300,226.8066,1.000000,0.0000
2019-01-14,BBG000BHTMY2,238.5900,238.5900,238.5900,238.5900,225.6340,1.000000,0.0000
2019-01-15,BBG000BHTMY2,241.1600,241.1600,241.1600,241.1600,228.0644,1.000000,0.0000
2019-01-16,BBG000BHTMY2,241.7000,241.7000,241.7000,241.7000,228.5751,1.000000,0.0000
2019-01-17,BBG000BHTMY2,243.5600,243.5600,243.5600,243.5600,230.3341,1.000000,0.0000
2019-01-18,BBG000BHTMY2,246.7700,246.7700,246.7700,246.7700,233.3698,1.000000,0.0000
2019-01-22,BBG000BHTMY2,243.2900,243.2900,243.2900,243.2900,230.0788,1.000000,0.0000
2019-01-23,BBG000BHTMY2,243.8200,243.8200,243.8200,243.8200,230.5800,1.000000,0.0000
2019-01-24,BBG000BHTMY2,244.1600,244.1600,244.1600,244.1600,230.9015,1.000000,0.0000
2019-01-25,BBG000BHTMY2,246.2400,246.2400,246.2400,246.2400,232.8686,1.000000,0.0000
2019-01-28,BBG000BHTMY2,244.3100,244.3100,244.3100,244.3100,231.0434,1.000000,0.0000
2019-01-29,BBG000BHTMY2,243.9600,243.9600,243.9600,243.9600,230.7124,1.000000,0.0000
2019-01-30,BBG000BHTMY2,247.7800,247.7800,247.7800,247.7800,234.3249,1.000000,0.0000
2019-01-31,BBG000BHTMY2,249.9600,249.9600,249.9600,249.9600,236.3866,1.000000,0.0000
2019-02-01,BBG000BHTMY2,250.2100,250.2100,250.2100,250.2100,236.6230,1.000000,0.0000
2019-02-04,BBG000BHTMY2,251.9100,251.9100,251.9100,251.9100,238.2307,1.000000,0.0000
2019-02-05,BBG000BHTMY2,253.1000,253.1000,253.1000,253.1000,239.3560,1.000000,0.0000
2019-02-06,BBG000BHTMY2,252.5600,252.5600,252.5600,252.5600,238.8454,1.000000,0.0000
2019-02-07,BBG000BHTMY2,250.2300,250.2300,250.2300,250.2300,236.6419,1.000000,0.0000
2019-02-08,BBG000BHTMY2,250.4800,250.4800,250.4800,250.4800,236.8783,1.000000,0.0000
2019-02-11,BBG000BHTMY2,250.6600,250.6600,250.6600,250.6600,237.0485,1.000000,0.0000
2019-02-12,BBG000BHTMY2,253.9100,253.9100,253.9100,253.9100,240.1221,1.000000,0.0000
2019-02-13,BBG000BHTMY2,254.6900,254.6900,254.6900,254.6900,240.8597,1.000000,0.0000
2019-02-14,BBG000BHTMY2,254.1100,254.1100,254.1100,254.1100,240.3112,1.000000,0.0000
