event_date,composite_figi,dividend,split_factor
1980-03-27,BBG000BHTMY2,0.1600,1.000000
1980-06-27,BBG000BHTMY2,0.1600,1.000000
1980-09-30,BBG000BHTMY2,0.1600,1.000000
1980-12-30,BBG000BHTMY2,0.3500,1.000000
1981-03-27,BBG000BHTMY2,0.1800,1.000000
1981-06-30,BBG000BHTMY2,0.1800,1.000000
1981-09-30,BBG000BHTMY2,0.1800,1.000000
1981-12-29,BBG000BHTMY2,0.2900,1.000000
1982-03-30,BBG000BHTMY2,0.1800,1.000000
1982-06-29,BBG000BHTMY2,0.1800,1.000000
1982-09-28,BBG000BHTMY2,0.1800,1.000000
1982-12-28,BBG000BHTMY2,0.2900,1.000000
1983-03-29,BBG000BHTMY2,0.1800,1.000000
1983-06-28,BBG000BHTMY2,0.1800,1.000000
1983-09-28,BBG000BHTMY2,0.1800,1.000000
1983-12-28,BBG000BHTMY2,0.3300,1.000000
1984-03-28,BBG000BHTMY2,0.1800,1.000000
1984-06-28,BBG000BHTMY2,0.1800,1.000000
1984-09-28,BBG000BHTMY2,0.1800,1.000000
1984-12-28,BBG000BHTMY2,0.3400,1.000000
1985-03-28,BBG000BHTMY2,0.1800,1.000000
1985-06-28,BBG000BHTMY2,0.1800,1.000000
1985-09-30,BBG000BHTMY2,0.1800,1.000000
1985-12-27,BBG000BHTMY2,0.3700,1.000000
1986-03-27,BBG000BHTMY2,0.1800,1.000000
1986-06-27,BBG000BHTMY2,0.1800,1.000000
1986-09-30,BBG000BHTMY2,0.1800,1.000000
1986-12-30,BBG000BHTMY2,0.3500,1.000000
1987-03-27,BBG000BHTMY2,0.1800,1.000000
1987-06-29,BBG000BHTMY2,0.1800,1.000000
1987-09-28,BBG000BHTMY2,0.1800,1.000000
1987-12-29,BBG000BHTMY2,0.3200,1.000000
1988-01-05,BBG000BHTMY2,0.1900,1.000000
1988-03-29,BBG000BHTMY2,0.1800,1.000000
1988-06-28,BBG000BHTMY2,0.1800,1.000000
1988-09-28,BBG000BHTMY2,0.1800,1.000000
1988-12-29,BBG000BHTMY2,0.6900,1.000000
1989-03-29,BBG000BHTMY2,0.3500,1.000000
1989-06-28,BBG000BHTMY2,0.1800,1.000000
1989-09-27,BBG000BHTMY2,0.1800,1.000000
1989-12-28,BBG000BHTMY2,1.2400,1.000000
1990-03-28,BBG000BHTMY2,0.2300,1.000000
1990-06-26,BBG000BHTMY2,0.1800,1.000000
1990-09-26,BBG000BHTMY2,0.1800,1.000000
1990-12-27,BBG000BHTMY2,0.6800,1.000000
1991-03-27,BBG000BHTMY2,0.2500,1.000000
1991-06-27,BBG000BHTMY2,0.1800,1.000000
1991-09-26,BBG000BHTMY2,0.1800,1.000000
1991-12-27,BBG000BHTMY2,0.6600,1.000000
1992-03-26,BBG000BHTMY2,0.2200,1.000000
1992-06-24,BBG000BHTMY2,0.2200,1.000000
1992-09-24,BBG000BHTMY2,0.2200,1.000000
1992-12-29,BBG000BHTMY2,0.5600,1.000000
1993-03-24,BBG000BHTMY2,0.2500,1.000000
1993-06-23,BBG000BHTMY2,0.2200,1.000000
1993-09-22,BBG000BHTMY2,0.2200,1.000000
1993-12-29,BBG000BHTMY2,0.4700,1.000000
1994-03-23,BBG000BHTMY2,0.3000,1.000000
1994-06-22,BBG000BHTMY2,0.2200,1.000000
1994-09-21,BBG000BHTMY2,0.2200,1.000000
1994-12-28,BBG000BHTMY2,0.6300,1.000000
1995-03-22,BBG000BHTMY2,0.2200,1.000000
1995-06-21,BBG000BHTMY2,0.2200,1.000000
