event_date,composite_figi,open,high,low,close,adj_close,split_factor,dividend
2019-01-02,BBG000BCKYB1,11.9000,11.9000,11.9000,11.9000,9.9325,1.000000,0.0000
2019-01-03,BBG000BCKYB1,12.0300,12.0300,12.0300,12.0300,10.0410,1.000000,0.0000
2019-01-04,BBG000BCKYB1,11.9000,11.9000,11.9000,11.9000,9.9325,1.000000,0.0000
2019-01-07,BBG000BCKYB1,11.8600,11.8600,11.8600,11.8600,9.8991,1.000000,0.0000
2019-01-08,BBG000BCKYB1,11.8300,11.8300,11.8300,11.8300,9.8740,1.000000,0.0000
2019-01-09,BBG000BCKYB1,11.8100,11.8100,11.8100,11.8100,9.8573,1.000000,0.0000
2019-01-10,BBG000BCKYB1,11.7300,11.7300,11.7300,11.7300,9.7906,1.000000,0.0000
2019-01-11,BBG000BCKYB1,11.7800,11.7800,11.7800,11.7800,9.8323,1.000000,0.0000
2019-01-14,BBG000BCKYB1,11.7300,11.7300,11.7300,11.7300,9.7906,1.000000,0.0000
2019-01-15,BBG000BCKYB1,11.6900,11.6900,11.6900,11.6900,9.7572,1.000000,0.0000
2019-01-16,BBG000BCKYB1,11.7100,11.7100,11.7100,11.7100,9.7739,1.000000,0.0000
2019-01-17,BBG000BCKYB1,11.7000,11.7000,11.7000,11.7000,9.7655,1.000000,0.0000
2019-01-18,BBG000BCKYB1,11.6400,11.6400,11.6400,11.6400,9.7154,1.000000,0.0000
2019-01-22,BBG000BCKYB1,11.7100,11.7100,11.7100,11.7100,9.7739,1.000000,0.0000
2019-01-23,BBG000BCKYB1,11.7100,11.7100,11.7100,11.7100,9.7739,1.000000,0.0000
2019-01-24,BBG000BCKYB1,11.7800,11.7800,11.7800,11.7800,9.8323,1.000000,0.0000
2019-01-25,BBG000BCKYB1,11.7300,11.7300,11.7300,11.7300,9.7906,1.000000,0.0000
2019-01-28,BBG000BCKYB1,11.7100,11.7100,11.7100,11.7100,9.7739,1.000000,0.0000
2019-01-29,BBG000BCKYB1,11.7700,11.7700,11.7700,11.7700,9.8240,1.000000,0.0000
2019-01-30,BBG000BCKYB1,11.7600,11.7600,11.7600,11.7600,9.8156,1.000000,0.0000
2019-01-31,BBG000BCKYB1,11.8600,11.8600,11.8600,11.8600,9.9228,1.000000,0.0284
2019-02-01,BBG000BCKYB1,11.7900,11.7900,11.7900,11.7900,9.8642,1.000000,0.0000
2019-02-04,BBG000BCKYB1,11.7400,11.7400,11.7400,11.7400,9.8224,1.000000,0.0000
2019-02-05,BBG000BCKYB1,11.7900,11.7900,11.7900,11.7900,9.8642,1.000000,0.0000
2019-02-06,BBG000BCKYB1,11.7900,11.7900,11.7900,11.7900,9.8642,1.000000,0.0000
2019-02-07,BBG000BCKYB1,11.8600,11.8600,11.8600,11.8600,9.9228,1.000000,0.0000
2019-02-08,BBG000BCKYB1,11.9100,11.9100,11.9100,11.9100,9.9646,1.000000,0.0000
2019-02-11,BBG000BCKYB1,11.8700,11.8700,11.8700,11.8700,9.9311,1.000000,0.0000
2019-02-12,BBG000BCKYB1,11.8400,11.8400,11.8400,11.8400,9.9060,1.000000,0.0000
2019-02-13,BBG000BCKYB1,11.8000,11.8000,11.8000,11.8000,9.8726,1.000000,0.0000
2019-02-14,BBG000BCKYB1,11.8600,11.8600,11.8600,11.8600,9.9228,1.000000,0.0000
2019-02-15,BBG000BCKYB1,11.8700,11.8700,11.8700,11.8700,9.9311,1.000000,0.0000
2019-02-19,BBG000BCKYB1,11.9000,11.9000,11.9000,11.9000,9.9562,1.000000,0.0000
2019-02-20,BBG000BCKYB1,11.8700,11.8700,11.8700,11.8700,9.9311,1.000000,0.0000
2019-02-21,BBG000BCKYB1,11.7700,11.7700,11.7700,11.7700,9.8475,1.000000,0.0000
2019-02-22,BBG000BCKYB1,11.8300,11.8300,11.8300,11.8300,9.8977,1.000000,0.0000
2019-02-25,BBG000BCKYB1,11.8000,11.8000,11.8000,11.8000,9.8726,1.000000,0.0000
2019-02-26,BBG000BCKYB1,11.8500,11.8500,11.8500,11.8500,9.9144,1.000000,0.0000
2019-02-27,BBG000BCKYB1,11.7300,11.7300,11.7300,11.7300,9.8140,1.000000,0.0000
2019-02-28,BBG000BCKYB1,11.6800,11.6800,11.6800,11.6800,9.7933,1.000000,0.0252
2019-03-01,BBG000BCKYB1,11.5800,11.5800,11.5800,11.5800,9.7094,1.000000,0.0000
2019-03-04,BBG000BCKYB1,11.6700,11.6700,11.6700,11.6700,9.7849,1.000000,0.0000
2019-03-05,BBG000BCKYB1,11.6900,11.6900,11.6900,11.6900,9.8016,1.000000,0.0000
2019-03-06,BBG000BCKYB1,11.7300,11.7300,11.7300,11.7300,9.8352,1.000000,0.0000
2019-03-07,BBG000BCKYB1,11.8000,11.8000,11.8000,11.8000,9.8939,1.000000,0.0000
2019-03-08,BBG000BCKYB1,11.8500,11.8500,11.8500,11.8500,9.9358,1.000000,0.0000
2019-03-11,BBG000BCKYB1,11.8100,11.8100,11.8100,11.8100,9.9023,1.000000,0.0000
2019-03-12,BBG000BCKYB1,11.8900,11.8900,11.8900,11.8900,9.9693,1.000000,0.0000
2019-03-13,BBG000BCKYB1,11.8700,11.8700,11.8700,11.8700,9.9526,1.000000,0.0000
2019-03-14,BBG000BCKYB1,11.7900,11.7900,11.7900,11.7900,9.8855,1.000000,0.0000
2019-03-15,BBG000BCKYB1,11.8600,11.8600,11.8600,11.8600,9.9442,1.000000,0.0000
2019-03-18,BBG000BCKYB1,11.8500,11.8500,11.8500,11.8500,9.9358,1.000000,0.0000
2019-03-19,BBG000BCKYB1,11.8300,11.8300,11.8300,11.8300,9.9190,1.000000,0.0000
2019-03-20,BBG000BCKYB1,11.9500,11.9500,11.9500,11.9500,10.0196,1.000000,0.0000
2019-03-21,BBG000BCKYB1,11.9700,11.9700,11.9700,11.9700,10.0364,1.000000,0.0000
2019-03-22,BBG000BCKYB1,12.1500,12.1500,12.1500,12.1500,10.1873,1.000000,0.0000
2019-03-25,BBG000BCKYB1,12.1700,12.1700,12.1700,12.1700,10.2041,1.000000,0.0000
