event_date,composite_figi,dividend,split_factor
1989-12-01,BBG000BCKYB1,0.0633,1.000000
1990-01-02,BBG000BCKYB1,0.0649,1.000000
1990-02-01,BBG000BCKYB1,0.0648,1.000000
1990-03-01,BBG000BCKYB1,0.0592,1.000000
1990-04-02,BBG000BCKYB1,0.0659,1.000000
1990-05-01,BBG000BCKYB1,0.0647,1.000000
1990-06-01,BBG000BCKYB1,0.0652,1.000000
1990-07-02,BBG000BCKYB1,0.0638,1.000000
1990-08-01,BBG000BCKYB1,0.0660,1.000000
1990-09-04,BBG000BCKYB1,0.0662,1.000000
1990-10-01,BBG000BCKYB1,0.0640,1.000000
1990-11-01,BBG000BCKYB1,0.0656,1.000000
1990-12-03,BBG000BCKYB1,0.0638,1.000000
1991-01-02,BBG000BCKYB1,0.0665,1.000000
1991-02-01,BBG000BCKYB1,0.0653,1.000000
1991-03-01,BBG000BCKYB1,0.0592,1.000000
1991-04-01,BBG000BCKYB1,0.0665,1.000000
1991-05-01,BBG000BCKYB1,0.0643,1.000000
1991-06-03,BBG000BCKYB1,0.0660,1.000000
1991-07-01,BBG000BCKYB1,0.0641,1.000000
1991-08-01,BBG000BCKYB1,0.0657,1.000000
1991-09-03,BBG000BCKYB1,0.0652,1.000000
1991-10-01,BBG000BCKYB1,0.0613,1.000000
1991-11-01,BBG000BCKYB1,0.0624,1.000000
1991-12-02,BBG000BCKYB1,0.0620,1.000000
1992-01-02,BBG000BCKYB1,0.0649,1.000000
1992-02-03,BBG000BCKYB1,0.0615,1.000000
1992-02-26,BBG000BCKYB1,0.1281,1.000000
1992-03-02,BBG000BCKYB1,0.0548,1.000000
1992-04-01,BBG000BCKYB1,0.0596,1.000000
1992-05-01,BBG000BCKYB1,0.0627,1.000000
1992-06-01,BBG000BCKYB1,0.0640,1.000000
1992-07-01,BBG000BCKYB1,0.0615,1.000000
1992-08-03,BBG000BCKYB1,0.0632,1.000000
1992-09-01,BBG000BCKYB1,0.0632,1.000000
1992-10-01,BBG000BCKYB1,0.0610,1.000000
1992-11-02,BBG000BCKYB1,0.0625,1.000000
1992-12-01,BBG000BCKYB1,0.0606,1.000000
1992-12-10,BBG000BCKYB1,0.5718,1.000000
1993-01-04,BBG000BCKYB1,0.0626,1.000000
1993-02-01,BBG000BCKYB1,0.0598,1.000000
1993-02-23,BBG000BCKYB1,0.0277,1.000000
1993-03-01,BBG000BCKYB1,0.0538,1.000000
1993-04-01,BBG000BCKYB1,0.0598,1.000000
1993-05-03,BBG000BCKYB1,0.0577,1.000000
1993-06-01,BBG000BCKYB1,0.0592,1.000000
1993-07-01,BBG000BCKYB1,0.0565,1.000000
1993-08-02,BBG000BCKYB1,0.0575,1.000000
1993-09-01,BBG000BCKYB1,0.0572,1.000000
1993-10-01,BBG000BCKYB1,0.0562,1.000000
1993-11-01,BBG000BCKYB1,0.0580,1.000000
1993-12-01,BBG000BCKYB1,0.0558,1.000000
1993-12-31,BBG000BCKYB1,0.1481,1.000000
1994-01-03,BBG000BCKYB1,0.0572,1.000000
1994-02-01,BBG000BCKYB1,0.0560,1.000000
1994-03-01,BBG000BCKYB1,0.0509,1.000000
1994-03-31,BBG000BCKYB1,0.0410,1.000000
1994-04-04,BBG000BCKYB1,0.0564,1.000000
1994-05-02,BBG000BCKYB1,0.0541,1.000000
1994-06-01,BBG000BCKYB1,0.0549,1.000000
1994-07-01,BBG000BCKYB1,0.0530,1.000000
1994-08-01,BBG000BCKYB1,0.0553,1.000000
1994-09-01,BBG000BCKYB1,0.0559,1.000000
1994-10-03,BBG000BCKYB1,0.0558,1.000000
1994-11-01,BBG000BCKYB1,0.0575,1.000000
1994-12-01,BBG000BCKYB1,0.0562,1.000000
1994-12-29,BBG000BCKYB1,0.0780,1.000000
1995-01-03,BBG000BCKYB1,0.0581,1.000000
1995-02-01,BBG000BCKYB1,0.0570,1.000000
1995-03-01,BBG000BCKYB1,0.0522,1.000000
1995-04-03,BBG000BCKYB1,0.0583,1.000000
1995-05-01,BBG000BCKYB1,0.0562,1.000000
1995-06-01,BBG000BCKYB1,0.0576,1.000000
1995-07-03,BBG000BCKYB1,0.0550,1.000000
1995-08-01,BBG000BCKYB1,0.0566,1.000000
1995-09-01,BBG000BCKYB1,0.0567,1.000000
1995-10-02,BBG000BCKYB1,0.0550,1.000000
1995-11-01,BBG000BCKYB1,0.0566,1.000000
1995-12-01,BBG000BCKYB1,0.0546,1.000000
1995-12-28,BBG000BCKYB1,0.2250,1.000000
1996-01-02,BBG000BCKYB1,0.0560,1.000000
1996-02-01,BBG000BCKYB1,0.0543,1.000000
1996-03-01,BBG000BCKYB1,0.0513,1.000000
1996-03-29,BBG000BCKYB1,0.0134,1.000000
1996-04-01,BBG000BCKYB1,0.0561,1.000000
1996-05-01,BBG000BCKYB1,0.0542,1.000000
1996-06-03,BBG000BCKYB1,0.0558,1.000000
1996-07-01,BBG000BCKYB1,0.0539,1.000000
1996-08-01,BBG000BCKYB1,0.0551,1.000000
1996-09-03,BBG000BCKYB1,0.0553,1.000000
1996-10-01,BBG000BCKYB1,0.0539,1.000000
1996-11-01,BBG000BCKYB1,0.0552,1.000000
1996-12-02,BBG000BCKYB1,0.0535,1.000000
1997-01-02,BBG000BCKYB1,0.0553,1.000000
1997-02-03,BBG000BCKYB1,0.0548,1.000000
1997-03-03,BBG000BCKYB1,0.0494,1.000000
1997-04-01,BBG000BCKYB1,0.0556,1.000000
1997-05-01,BBG000BCKYB1,0.0532,1.000000
1997-06-02,BBG000BCKYB1,0.0549,1.000000
1997-07-01,BBG000BCKYB1,0.0529,1.000000
1997-08-01,BBG000BCKYB1,0.0545,1.000000
1997-09-02,BBG000BCKYB1,0.0548,1.000000
1997-10-01,BBG000BCKYB1,0.0529,1.000000
1997-11-03,BBG000BCKYB1,0.0545,1.000000
1997-12-01,BBG000BCKYB1,0.0527,1.000000
1998-02-02,BBG000BCKYB1,0.0535,1.000000
1998-03-02,BBG000BCKYB1,0.0486,1.000000
1998-04-01,BBG000BCKYB1,0.0551,1.000000
1998-05-01,BBG000BCKYB1,0.0530,1.000000
